action,keywords,parent,description,title,application_type
powder_diffraction_pattern_viewer_gui.panel,,,Plot powder diffraction pattern intensity as a function of scattering angle.<br/>Opens the Powder Diffraction Pattern Plot panel.,,
pp_assign_numbering,"7TM, Ballesteros-Weistein numbering, G protein coupled receptor, GPCR",,,Assign GPCR Generic Numbering...,Protein Preparation and Refinement
pp_build_biopolymer,,,,Build Biopolymer from Sequence...,Protein Preparation and Refinement
pp_build_peptide,"peptide, peptidomimetic",,,,
pp_generate_helices,"helix, peptide",,,Generate Helices...,Protein Preparation and Refinement
pp_helix_manipulator,"helix, peptide",,,Helix Manipulator...,Protein Preparation and Refinement
pp_mutate_residues,"residue mutation, change sidechain, mutate",,,Mutate Residues...,Protein Preparation and Refinement
pp_pdb_name_assign,PDB,,,PDB Name Assignment,Protein Preparation and Refinement
pp_renumber_proteins,"alignment, superimpose, superpose, superimposition, residue renumbering",,,Renumber Proteins by 3D Alignment...,Protein Preparation and Refinement
pp_structure_morpher,"morph, transform",,,Structure Morpher...,Protein Preparation and Refinement
pred_tox_gui.panel,"pred tox, predictive toxicology, secondary pharmacology, tox, kinase panel",,,Predictive Toxicology...,Induced Fit Docking
predictsidechains,,,"<!-- protein, sidechain -->
Predict the conformation of a specified set of protein side chains. The sampling can also include various degrees of backbone relaxation, or can produce an ensemble of side chain conformations using Monte Carlo, and can optionally include periodic boundary conditions, an implicit solvent, and an implicit membrane.<br/>Opens the Predict Side Chains panel.",,
prepare_for_md_gui.panel,,,"Prepare the structure in the Workspace for MD simulations, by cleaning up bond orders, selecting a force field, and creating a simulation box by running the Desmond System Builder.<br/>Opens the Prepare for MD panel.",,
prepwizard2_gui.panel,,,"<!-- ppw -->
Locate and fix structural defects in imported protein structures and prepare them for use by various Schrödinger applications.<br/>Opens the Protein Preparation Workflow Panel.",,
prepwizard_gui,"PDB, crystal structure, crystallography, prepare, pKa, preparation, PPrep, PrepWizard, protein, protein preparation",,,Protein Preparation Workflow...,Protein Preparation and Refinement
prepwizard_gui.panel,,,"<!-- ppw -->
Locate and fix structural defects in imported protein structures and prepare them for use by various Schr&ouml;dinger products.<br/>Opens the Protein Preparation Wizard panel.",,
prepwizard_gui.panel_no_prime_options,,prepwizard_gui.panel,,,
prime_calculate_energy,"protein refinement, Prime, protein",,,Calculate Energy...,Protein Preparation and Refinement
prime_energy_visualization,Prime,,,Energy Visualization...,Prime
prime_energy_visualizer_gui.panel,,,"<!-- protein, MM-GB/SA, MMGBSA, SASA, solvent accessible -->
Visualize the Prime energy, the solvent-accessible surface area, and the predicted binding affinity, as well as their individual components, as returned from an Analyze Energy job or an MM-GBSA job.<br/>Opens the Prime Energy Visualizer panel.",,
prime_homology_modeling,,,"<!-- BLAST -->
Predict the structure of a protein from its sequence by homology modeling.<br/>Opens the Homology Modeling panel, which offers the choice of the Structure Prediction panel or the Multiple Sequence Viewer panel as the modeling interface. You can choose one of these as the default, and bypass the Homology Modeling panel.",,
prime_hybrid_mc,"protein refinement, Prime",,,Hybrid Monte Carlo...,Protein Preparation and Refinement
prime_macrocycle_sampling,"Prime, cyclic peptide, macrocycle, macrocycle conformational sampling, macrocycle conformational, macrocycle conformation, macrocycle conf",,,Macrocycle Conformational Sampling...,Prime
prime_macrocycle_sampling.panel,,,Sample the conformations of a ligand-sized structure that contains macrocycles.<br/>Opens the Prime Macrocycle Sampling panel.,,
prime_macrocycle_stability,"Prime, macrocycle",,,Macrocycle Propensity...,Structure Analysis
prime_macrocycle_stability_gui.panel,,,Evaluate the propensity of a macrocyclic compound to adopt a conformation similar to that adopted by a known active linear compound in a binding site.<br/>Opens the Macrocycle Bioactive Conformation Propensity panel.,,
prime_membrane_permeability,"Prime, membrane permeability, permeability",,,Membrane Permeability...,Prime
prime_minimize,"protein refinement, minimization, Prime, protein, Prime Minimize",,,Minimize...,Protein Preparation and Refinement
prime_minimize_rigid,"protein refinement, Prime, Prime Minimize",,,Minimize as Rigid Body...,Protein Preparation and Refinement
prime_mmgbsa,"binding, binding energy, binding energy estimation, Prime, GBSA, MMGBSA, MM-GBSA, MM-PBSA, sampling",,,MM-GBSA...,Lead Optimization
prime_mmgbsa_gui.panel,,,"<!-- protein, MM-GB/SA, MMGBSA -->
Calculate ligand binding energies and ligand strain energies for a set of ligands and a single receptor, using the MM-GBSA methodology in Prime.<br/>Opens the Prime MM-GBSA panel.",,
prime_predict_sidechains,"protein refinement, Prime, rotamers, predict side chains",,,Predict Side Chains...,Protein Preparation and Refinement
prime_refine_complex,"protein refinement, minimization, Prime, refine complex",,,Refine Protein-Ligand Complex...,Protein Preparation and Refinement
prime_refine_loops,"protein refinement, loop refinement, Prime, refinement, sampling, Prime Refine Loops",,,Refine Loops...,Protein Preparation and Refinement
prime_visualize_results,,prime_energy_visualizer_gui.panel,,,
primex,"protein X-ray refinement, X-ray refinement, crystal structure, crystallography, Prime, electron density, protein, protein preparation, refinement, Primex, X-ray, Xray",,,Protein X-Ray Refinement...,Protein Preparation and Refinement
primexpanel,,,"Refine the X-ray crystal structure of a protein, from the reflections file, the sequence, and a model structure.<br/>Opens the PrimeX panel.",,
probe_grid_gui.panel,,,"Explore the potential energy surface of a molecule with respect to a probe molecule, by calculating QM energies of the probe-target system at a set of probe grid points. The grid is a set of points on one or more surfaces surrounding the target.<br/>Opens the Probe Grid Scan panel.",,
project_backup,,,"Make a backup copy of the project in a zip file (<code>.prjzip</code>). The copy is stored in the directory <i>project</i><code>.backup</code> in the same location as the project, where <i>project</i><code>.prj</code> is the name of the project. You can set a preference for the backup location under Project &ndash; Backups in the Preferences panel.<br/>Opens a dialog box in which you can enter a description of the backup.",,
project_close,,,"Close the current project, with a prompt to save it if it is a scratch project. A scratch project is created to replace it.",,
project_compress,,,"Reduce the size of the structure data (atoms, atom properties) stored in the project by removing whitespace, atom properties that have default values for all atoms in a structure, and redundant bond properties, then zipping the structure. Only necessary when you open an older project in the uncompressed format. For large projects, compression can take a substantial amount of time.",,
project_copyto,,,"Export part or all of the project to a new project, and continue working in the current project. The project selector that opens offers options for inclusion of user-created files, for saving as a compressed file (<code>.prjzip</code>, the default), for copying only the selected or included entries, for inclusion of workflow data from Prime, and for saving in Maestro 9.4 project format. Plots are only copied if you copy all entries to the new project.",,
project_createentry,,,"Create a new project entry from the Workspace structure. A dialog box is displayed, in which you can enter a title for the entry, and choose whether to create the entry from all atoms, the selected atoms, or the displayed atoms.",,
project_delete,,,"Delete the current project. Any uncompleted jobs started from this project will finish, but cannot be incorporated.",,
project_entry_color_rows,,,Color the selected rows in the Project Table with a constant color or by the values of a property.<br/>Opens the Color Rows dialog box.,,
project_exportstructures,,,"Export entries from the current project to one or more files, with a choice of file formats and options to control the export behavior. You can create new structure files or append to an existing structure file. Opens the Export dialog box.",,
project_import_gui.panel,,,Import structures from one project into another project. The current Maestro project can be the source or the destination project.<br/>Opens the Import Structures from Project panel.,,
project_importfromproject,,,Import entries and properties from another project into the current project.<br/>Opens the Import from Project Dialog Box.,,
project_importstructures,,,Import structures and their properties into the current project from one or more files. The import behavior is affected by settings and preferences.<br/>Opens the Import dialog box.,,
project_merge,,,"Merge another project into the current project. Opens a project selector, in which you can navigate to and select the project to merge.",,
project_new,,,"Create a new project. Opens a project selector in which you can navigate to a location and name the new project. The current project is closed, with a prompt to save it if it is a scratch project.",,
project_open,,,"Open an existing project. Opens a project selector in which you can navigate to the desired project.  The current project is closed, with a prompt to save it if it is a scratch project.",,
project_publish,,,"Create a web page (HTML file) with a relative link to the project, which is stored as a zip file (<code>.prjzip</code>). You can provide a summary of the project, which is included in the web page. The page and project can then be placed on a web site.",,
project_restore,,,"Restore the state of a project from a backup copy. The project is overwritten by the backup.<br/>Opens the Restore Project from Backup dialog box, in which you can select the backup to restore.",,
